,node,centrality,community,density,name
365,1082,1,72,0.2573099415204678,"zhu, x."
366,1113,2,72,0.2573099415204678,"edsall, r.m."
367,474,3,72,0.2573099415204678,"boscoe, f.p."
368,472,3,72,0.2573099415204678,"haug, d."
369,1225,4,72,0.2573099415204678,"hardisty, f."
370,61,4,72,0.2573099415204678,"gundrum, j."
371,62,4,72,0.2573099415204678,"otto, g."
372,1226,4,72,0.2573099415204678,"lengerich, g."
373,1227,4,72,0.2573099415204678,"xiping, d."
374,473,4,72,0.2573099415204678,"pickle, l."
375,59,4,72,0.2573099415204678,"brewer, i."
376,60,4,72,0.2573099415204678,"abdo, h."
377,1041,5,72,0.2573099415204678,"gahegan, m."
378,1042,5,72,0.2573099415204678,"swingley, d."
379,744,5,72,0.2573099415204678,"guo, d."
380,1040,5,72,0.2573099415204678,"o'brien, j."
381,1039,5,72,0.2573099415204678,"roth, r.e."
382,12,7,72,0.2573099415204678,"li, b."
383,63,19,72,0.2573099415204678,"maceachren, a.m."
384,1031,1,33,0.2210144927536232,"feiner, s.k."
385,899,2,33,0.2210144927536232,"wen, z."
386,1331,2,33,0.2210144927536232,"aggarwal, v."
387,366,2,33,0.2210144927536232,"feng, f."
388,760,2,33,0.2210144927536232,"dearden, j."
389,157,2,33,0.2210144927536232,"walker, j."
390,155,3,33,0.2210144927536232,"jones, m.w."
391,1204,4,33,0.2210144927536232,"sansone, s."
392,892,4,33,0.2210144927536232,"sansone, s.-a."
393,805,5,33,0.2210144927536232,"thornton, i.m."
394,804,5,33,0.2210144927536232,"proctor, k."
395,802,5,33,0.2210144927536232,"janicke, h."
396,803,5,33,0.2210144927536232,"murray, t."
397,367,5,33,0.2210144927536232,"zhou, m.x."
398,894,5,33,0.2210144927536232,"maguire, e."
399,895,5,33,0.2210144927536232,"davies, j."
400,893,5,33,0.2210144927536232,"rocca-serra, p."
401,1077,6,33,0.2210144927536232,"abdul-rahman, a."
402,1078,6,33,0.2210144927536232,"mohamed, f."
403,1079,6,33,0.2210144927536232,"floridi, l."
404,1075,6,33,0.2210144927536232,"reppa, i."
405,1076,6,33,0.2210144927536232,"grant, p.w."
406,156,13,33,0.2210144927536232,"borgo, r."
407,365,17,33,0.2210144927536232,"chen, m."
408,596,1,1,0.19384615384615383,"cox, k.c."
409,701,1,1,0.19384615384615383,"robertson, e.l."
410,1304,2,1,0.19384615384615383,"higgins, m."
411,1303,2,1,0.19384615384615383,"sean, j."
412,269,2,1,0.19384615384615383,"keahey, t.a."
413,268,3,1,0.19384615384615383,"eick, s.g."
414,1299,3,1,0.19384615384615383,"harrison, j."
415,533,3,1,0.19384615384615383,"mattis, j."
416,1298,3,1,0.19384615384615383,"moore, a."
417,1255,3,1,0.19384615384615383,"christel, m.g."
418,1257,3,1,0.19384615384615383,"hauptmann, a.g."
419,1256,3,1,0.19384615384615383,"wactlar, h.d."
420,273,4,1,0.19384615384615383,"chuah, m.c."
421,467,4,1,0.19384615384615383,"kerpedjiev, s."
422,468,4,1,0.19384615384615383,"green, n."
423,469,4,1,0.19384615384615383,"carenini, g."
424,471,4,1,0.19384615384615383,"moore, j."
425,698,7,1,0.19384615384615383,"derthick, m."
426,1045,7,1,0.19384615384615383,"stroffolino, p.j."
427,1046,7,1,0.19384615384615383,"dunmire, c."
428,1048,7,1,0.19384615384615383,"gomberg, c.c."
429,1049,7,1,0.19384615384615383,"burks, m.b."
430,1050,7,1,0.19384615384615383,"senn, j.a."
431,1047,9,1,0.19384615384615383,"lucas, p."
432,534,10,1,0.19384615384615383,"kolojejchick, j."
433,470,16,1,0.19384615384615383,"roth, s.f."
434,621,1,76,0.15692307692307692,"molchanov, v."
435,560,2,76,0.15692307692307692,"tuttle, c."
436,397,2,76,0.15692307692307692,"matute, j."
437,386,3,76,0.15692307692307692,"puechmorel, s."
438,387,3,76,0.15692307692307692,"nicol, f."
439,80,3,76,0.15692307692307692,"lommerse, g."
440,82,3,76,0.15692307692307692,"nossin, f."
441,398,3,76,0.15692307692307692,"linsen, l."
442,81,4,76,0.15692307692307692,"voinea, l."
443,1251,4,76,0.15692307692307692,"telles, g.p."
444,1253,4,76,0.15692307692307692,"paiva, j.g."
445,1275,4,76,0.15692307692307692,"cuminato, j.a."
446,1254,4,76,0.15692307692307692,"florian, l."
447,1252,4,76,0.15692307692307692,"pedrini, h."
448,1276,4,76,0.15692307692307692,"coimbra, d."
449,1277,4,76,0.15692307692307692,"joia, p."
450,1066,4,76,0.15692307692307692,"fatore, f.m."
451,1069,4,76,0.15692307692307692,"sikansi, f."
452,1067,4,76,0.15692307692307692,"fadel, s.g."
453,1070,4,76,0.15692307692307692,"duarte, f.s.l.g."
454,1328,4,76,0.15692307692307692,"cantareiro, g."
455,1291,4,76,0.15692307692307692,"ersoy, o."
456,1248,5,76,0.15692307692307692,"minghim, r."
457,559,6,76,0.15692307692307692,"nonato, l.g."
458,83,12,76,0.15692307692307692,"telea, a.c."
459,1068,13,76,0.15692307692307692,"paulovich, f.v."
460,40,3,42,0.27076923076923076,"foresti, s."
461,42,3,42,0.27076923076923076,"moon, s."
462,836,3,42,0.27076923076923076,"mckenna, s."
